run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
33	1	3	0.00489266003902803	0.31292836500317	41.6711631455951	0.0523398328365114	78373.8093051149	0.005	0.3	50	0.05	full	rep86
8	1	3	NA	NA	NA	NA	78330.6717161525	0.005	0.3	50	0.05	reduced	rep86
15	1	3	0.00493990155284051	0.283183834861068	52.4785746083374	0.048958471826678	78876.2643732826	0.005	0.3	50	0.05	full	rep87
10	1	3	NA	NA	NA	NA	78823.7988152832	0.005	0.3	50	0.05	reduced	rep87
39	1	3	0.00510599657336435	0.284737685243519	63.4485568657421	0.0504360090820405	78510.8399470706	0.005	0.3	50	0.05	full	rep88
29	1	3	NA	NA	NA	NA	78452.2967831276	0.005	0.3	50	0.05	reduced	rep88
44	1	3	0.00479840563505886	0.377077070431022	27.072310333085	0.0502872965899957	78105.6577568089	0.005	0.3	50	0.05	full	rep89
12	1	3	NA	NA	NA	NA	78061.2904747393	0.005	0.3	50	0.05	reduced	rep89
7	1	3	0.0045664800615412	0.450250238126548	14.9625363270812	0.0541407975867923	78661.1693332102	0.005	0.3	50	0.05	full	rep90
48	1	3	NA	NA	NA	NA	78634.8432425169	0.005	0.3	50	0.05	reduced	rep90
12	1	3	0.00498324812333172	0.319648330680469	42.1303788016634	0.0493054289541123	79236.7142627597	0.005	0.3	50	0.05	full	rep91
9	1	3	NA	NA	NA	NA	79184.1671618139	0.005	0.3	50	0.05	reduced	rep91
22	1	3	0.00544889797882852	0.253948349141559	125.178685111775	0.0446101985056004	77792.7454500188	0.005	0.3	50	0.05	full	rep92
40	1	3	NA	NA	NA	NA	77715.21165274	0.005	0.3	50	0.05	reduced	rep92
3	1	3	0.00459211282912927	0.370899875484191	24.2246836076955	0.0515392566542055	76483.6353568966	0.005	0.3	50	0.05	full	rep93
44	1	3	NA	NA	NA	NA	76450.6581864033	0.005	0.3	50	0.05	reduced	rep93
22	1	3	0.00495751690128342	0.329582124849739	38.5339950640865	0.0496535935132707	79271.2358973295	0.005	0.3	50	0.05	full	rep94
44	1	3	NA	NA	NA	NA	79223.7042232113	0.005	0.3	50	0.05	reduced	rep94
2	1	3	0.00508695255949118	0.311107239557611	50.4710992162734	0.0513531985906832	78850.7560026727	0.005	0.3	50	0.05	full	rep95
27	1	3	NA	NA	NA	NA	78790.4696826534	0.005	0.3	50	0.05	reduced	rep95
3	1	3	0.00497667500588103	0.314653281487204	44.545300382775	0.0527859542408963	78595.4724030935	0.005	0.3	50	0.05	full	rep96
45	1	3	NA	NA	NA	NA	78547.0522903158	0.005	0.3	50	0.05	reduced	rep96
14	1	3	0.00481049852912312	0.32744504442135	37.4161133267027	0.0502429865509086	77213.6926071968	0.005	0.3	50	0.05	full	rep97
24	1	3	NA	NA	NA	NA	77171.0040479408	0.005	0.3	50	0.05	reduced	rep97
2	1	3	0.00476801288654998	0.308394098041295	39.3680271964765	0.0465274970048302	77597.3345450705	0.005	0.3	50	0.05	full	rep98
33	1	3	NA	NA	NA	NA	77549.2331039457	0.005	0.3	50	0.05	reduced	rep98
2	1	3	0.00602697993409398	0.194197708104361	409.961119765506	0.0598149782529851	78364.0797267113	0.005	0.3	50	0.05	full	rep99
23	1	3	NA	NA	NA	NA	78328.5876788687	0.005	0.3	50	0.05	reduced	rep99
19	1	3	0.00578465935590667	0.223102187392672	245.006124437417	0.0512303755270291	77497.5572813246	0.005	0.3	50	0.05	full	rep100
25	1	3	NA	NA	NA	NA	77439.4807013095	0.005	0.3	50	0.05	reduced	rep100
